Raioane,Grupe de varsta,Ani,Medii,Sexe,value
Total pe tara,5-9,2026,Urban,Total,79012
Total pe tara,5-9,2026,Urban,Masculin,40635
Total pe tara,5-9,2026,Urban,Feminin,38377
Total pe tara,5-9,2026,Rural,Total,81062
Total pe tara,5-9,2026,Rural,Masculin,41391
Total pe tara,5-9,2026,Rural,Feminin,39671
Total pe tara,10-14,2014,Total,Total,156127
Total pe tara,10-14,2014,Total,Masculin,80442
Total pe tara,10-14,2014,Total,Feminin,75685
Total pe tara,10-14,2014,Urban,Total,48691
Total pe tara,10-14,2014,Urban,Masculin,25206
Total pe tara,10-14,2014,Urban,Feminin,23485
Total pe tara,10-14,2014,Rural,Total,107436
Total pe tara,10-14,2014,Rural,Masculin,55236
Total pe tara,10-14,2014,Rural,Feminin,52200
Total pe tara,10-14,2015,Total,Total,153602
Total pe tara,10-14,2015,Total,Masculin,79264
Total pe tara,10-14,2015,Total,Feminin,74338
Total pe tara,10-14,2015,Urban,Total,49482
Total pe tara,10-14,2015,Urban,Masculin,25672
Total pe tara,10-14,2015,Urban,Feminin,23810
Total pe tara,10-14,2015,Rural,Total,104120
Total pe tara,10-14,2015,Rural,Masculin,53592
Total pe tara,10-14,2015,Rural,Feminin,50528
Total pe tara,10-14,2016,Total,Total,151042
Total pe tara,10-14,2016,Total,Masculin,77804
Total pe tara,10-14,2016,Total,Feminin,73238
Total pe tara,10-14,2016,Urban,Total,50529
Total pe tara,10-14,2016,Urban,Masculin,26212
Total pe tara,10-14,2016,Urban,Feminin,24317
Total pe tara,10-14,2016,Rural,Total,100513
Total pe tara,10-14,2016,Rural,Masculin,51592
Total pe tara,10-14,2016,Rural,Feminin,48921
Total pe tara,10-14,2017,Total,Total,151626
Total pe tara,10-14,2017,Total,Masculin,78146
Total pe tara,10-14,2017,Total,Feminin,73480
Total pe tara,10-14,2017,Urban,Total,53059
Total pe tara,10-14,2017,Urban,Masculin,27480
Total pe tara,10-14,2017,Urban,Feminin,25579
Total pe tara,10-14,2017,Rural,Total,98567
Total pe tara,10-14,2017,Rural,Masculin,50666
Total pe tara,10-14,2017,Rural,Feminin,47901
Total pe tara,10-14,2018,Total,Total,153032
Total pe tara,10-14,2018,Total,Masculin,78724
Total pe tara,10-14,2018,Total,Feminin,74308
Total pe tara,10-14,2018,Urban,Total,56161
Total pe tara,10-14,2018,Urban,Masculin,28908
Total pe tara,10-14,2018,Urban,Feminin,27253
Total pe tara,10-14,2018,Rural,Total,96871
Total pe tara,10-14,2018,Rural,Masculin,49816
Total pe tara,10-14,2018,Rural,Feminin,47055
Total pe tara,10-14,2019,Total,Total,154175
Total pe tara,10-14,2019,Total,Masculin,79058
Total pe tara,10-14,2019,Total,Feminin,75117
Total pe tara,10-14,2019,Urban,Total,59597
Total pe tara,10-14,2019,Urban,Masculin,30583
Total pe tara,10-14,2019,Urban,Feminin,29014
Total pe tara,10-14,2019,Rural,Total,94578
Total pe tara,10-14,2019,Rural,Masculin,48475
Total pe tara,10-14,2019,Rural,Feminin,46103
Total pe tara,10-14,2020,Total,Total,155068
Total pe tara,10-14,2020,Total,Masculin,79670
Total pe tara,10-14,2020,Total,Feminin,75398
Total pe tara,10-14,2020,Urban,Total,62375
Total pe tara,10-14,2020,Urban,Masculin,32067
Total pe tara,10-14,2020,Urban,Feminin,30308
Total pe tara,10-14,2020,Rural,Total,92693
Total pe tara,10-14,2020,Rural,Masculin,47603
Total pe tara,10-14,2020,Rural,Feminin,45090
Total pe tara,10-14,2021,Total,Total,156580
Total pe tara,10-14,2021,Total,Masculin,80500
Total pe tara,10-14,2021,Total,Feminin,76080
Total pe tara,10-14,2021,Urban,Total,65378
Total pe tara,10-14,2021,Urban,Masculin,33654
Total pe tara,10-14,2021,Urban,Feminin,31724
Total pe tara,10-14,2021,Rural,Total,91202
Total pe tara,10-14,2021,Rural,Masculin,46846
Total pe tara,10-14,2021,Rural,Feminin,44356
Total pe tara,10-14,2022,Total,Total,155833
Total pe tara,10-14,2022,Total,Masculin,79745
Total pe tara,10-14,2022,Total,Feminin,76088
Total pe tara,10-14,2022,Urban,Total,66788
Total pe tara,10-14,2022,Urban,Masculin,34258
Total pe tara,10-14,2022,Urban,Feminin,32530
Total pe tara,10-14,2022,Rural,Total,89045
Total pe tara,10-14,2022,Rural,Masculin,45487
Total pe tara,10-14,2022,Rural,Feminin,43558
Total pe tara,10-14,2023,Total,Total,152177
Total pe tara,10-14,2023,Total,Masculin,78002
Total pe tara,10-14,2023,Total,Feminin,74175
Total pe tara,10-14,2023,Urban,Total,67262
Total pe tara,10-14,2023,Urban,Masculin,34581
Total pe tara,10-14,2023,Urban,Feminin,32681
Total pe tara,10-14,2023,Rural,Total,84915
Total pe tara,10-14,2023,Rural,Masculin,43421
Total pe tara,10-14,2023,Rural,Feminin,41494
Total pe tara,10-14,2024,Total,Total,160729
Total pe tara,10-14,2024,Total,Masculin,82236
Total pe tara,10-14,2024,Total,Feminin,78493
Total pe tara,10-14,2024,Urban,Total,72435
Total pe tara,10-14,2024,Urban,Masculin,37120
Total pe tara,10-14,2024,Urban,Feminin,35315
Total pe tara,10-14,2024,Rural,Total,88294
Total pe tara,10-14,2024,Rural,Masculin,45116
Total pe tara,10-14,2024,Rural,Feminin,43178
Total pe tara,10-14,2025,Total,Total,161477
Total pe tara,10-14,2025,Total,Masculin,82719
Total pe tara,10-14,2025,Total,Feminin,78758
Total pe tara,10-14,2025,Urban,Total,75058
Total pe tara,10-14,2025,Urban,Masculin,38457
Total pe tara,10-14,2025,Urban,Feminin,36601
Total pe tara,10-14,2025,Rural,Total,86419
Total pe tara,10-14,2025,Rural,Masculin,44262
Total pe tara,10-14,2025,Rural,Feminin,42157
Total pe tara,10-14,2026,Total,Total,162236
Total pe tara,10-14,2026,Total,Masculin,83252
Total pe tara,10-14,2026,Total,Feminin,78984
Total pe tara,10-14,2026,Urban,Total,76279
Total pe tara,10-14,2026,Urban,Masculin,39213
Total pe tara,10-14,2026,Urban,Feminin,37066
Total pe tara,10-14,2026,Rural,Total,85957
Total pe tara,10-14,2026,Rural,Masculin,44039
Total pe tara,10-14,2026,Rural,Feminin,41918
Total pe tara,15-19,2014,Total,Total,195313
Total pe tara,15-19,2014,Total,Masculin,99285
Total pe tara,15-19,2014,Total,Feminin,96028
Total pe tara,15-19,2014,Urban,Total,70546
Total pe tara,15-19,2014,Urban,Masculin,35776
Total pe tara,15-19,2014,Urban,Feminin,34770
Total pe tara,15-19,2014,Rural,Total,124767
Total pe tara,15-19,2014,Rural,Masculin,63509
Total pe tara,15-19,2014,Rural,Feminin,61258
Total pe tara,15-19,2015,Total,Total,178044
Total pe tara,15-19,2015,Total,Masculin,90882
Total pe tara,15-19,2015,Total,Feminin,87162
Total pe tara,15-19,2015,Urban,Total,61020
Total pe tara,15-19,2015,Urban,Masculin,31277
Total pe tara,15-19,2015,Urban,Feminin,29743
Total pe tara,15-19,2015,Rural,Total,117024
Total pe tara,15-19,2015,Rural,Masculin,59605
Total pe tara,15-19,2015,Rural,Feminin,57419
Total pe tara,15-19,2016,Total,Total,166225
Total pe tara,15-19,2016,Total,Masculin,85372
Total pe tara,15-19,2016,Total,Feminin,80853
Total pe tara,15-19,2016,Urban,Total,54130
Total pe tara,15-19,2016,Urban,Masculin,27668
Total pe tara,15-19,2016,Urban,Feminin,26462
Total pe tara,15-19,2016,Rural,Total,112095
Total pe tara,15-19,2016,Rural,Masculin,57704
Total pe tara,15-19,2016,Rural,Feminin,54391
Total pe tara,15-19,2017,Total,Total,153307
Total pe tara,15-19,2017,Total,Masculin,78960
Total pe tara,15-19,2017,Total,Feminin,74347
Total pe tara,15-19,2017,Urban,Total,48007
Total pe tara,15-19,2017,Urban,Masculin,24659
Total pe tara,15-19,2017,Urban,Feminin,23348
Total pe tara,15-19,2017,Rural,Total,105300
Total pe tara,15-19,2017,Rural,Masculin,54301
Total pe tara,15-19,2017,Rural,Feminin,50999
Total pe tara,15-19,2018,Total,Total,144779
Total pe tara,15-19,2018,Total,Masculin,74553
Total pe tara,15-19,2018,Total,Feminin,70226
Total pe tara,15-19,2018,Urban,Total,43846
Total pe tara,15-19,2018,Urban,Masculin,22699
Total pe tara,15-19,2018,Urban,Feminin,21147
Total pe tara,15-19,2018,Rural,Total,100933
Total pe tara,15-19,2018,Rural,Masculin,51854
Total pe tara,15-19,2018,Rural,Feminin,49079
Total pe tara,15-19,2019,Total,Total,139531
Total pe tara,15-19,2019,Total,Masculin,71853
Total pe tara,15-19,2019,Total,Feminin,67678
Total pe tara,15-19,2019,Urban,Total,43117
Total pe tara,15-19,2019,Urban,Masculin,22420
