domain,cause,sex,age_group,indicator,year,value
SAN020200,Boli ale aparatului respirator,Total,Total,"Cazuri, mii | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data)",2021,400.3
SAN020200,Boli ale aparatului respirator,Total,Total,"Cazuri, mii | Prevalenta (total bolnavi inregistrati pe parcursul anului)",2021,467.3
SAN020200,Boli ale aparatului respirator,Total,Total,La 1000 locuitori | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data),2021,154.2
SAN020200,Boli ale aparatului respirator,Total,Total,La 1000 locuitori | Prevalenta (total bolnavi inregistrati pe parcursul anului),2021,180.0
SAN020200,Boli ale aparatului respirator,Total,Total,"Cazuri, mii | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data)",2022,466.5
SAN020200,Boli ale aparatului respirator,Total,Total,"Cazuri, mii | Prevalenta (total bolnavi inregistrati pe parcursul anului)",2022,541.0
SAN020200,Boli ale aparatului respirator,Total,Total,La 1000 locuitori | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data),2022,184.5
SAN020200,Boli ale aparatului respirator,Total,Total,La 1000 locuitori | Prevalenta (total bolnavi inregistrati pe parcursul anului),2022,213.9
SAN020200,Boli ale aparatului respirator,Total,Total,"Cazuri, mii | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data)",2023,464.8
SAN020200,Boli ale aparatului respirator,Total,Total,"Cazuri, mii | Prevalenta (total bolnavi inregistrati pe parcursul anului)",2023,541.9
SAN020200,Boli ale aparatului respirator,Total,Total,La 1000 locuitori | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data),2023,189.1
SAN020200,Boli ale aparatului respirator,Total,Total,La 1000 locuitori | Prevalenta (total bolnavi inregistrati pe parcursul anului),2023,220.5
SAN020200,Boli ale aparatului respirator,Total,Total,"Cazuri, mii | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data)",2024,419.0
SAN020200,Boli ale aparatului respirator,Total,Total,"Cazuri, mii | Prevalenta (total bolnavi inregistrati pe parcursul anului)",2024,498.3
SAN020200,Boli ale aparatului respirator,Total,Total,La 1000 locuitori | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data),2024,174.4
SAN020200,Boli ale aparatului respirator,Total,Total,La 1000 locuitori | Prevalenta (total bolnavi inregistrati pe parcursul anului),2024,207.4
SAN020200,Boli ale pielii si tesutului celular subcutanat,Total,Total,"Cazuri, mii | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data)",2014,60.8
SAN020200,Boli ale pielii si tesutului celular subcutanat,Total,Total,"Cazuri, mii | Prevalenta (total bolnavi inregistrati pe parcursul anului)",2014,70.9
SAN020200,Boli ale pielii si tesutului celular subcutanat,Total,Total,La 1000 locuitori | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data),2014,21.3
SAN020200,Boli ale pielii si tesutului celular subcutanat,Total,Total,La 1000 locuitori | Prevalenta (total bolnavi inregistrati pe parcursul anului),2014,24.8
SAN020200,Boli ale pielii si tesutului celular subcutanat,Total,Total,"Cazuri, mii | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data)",2015,61.0
SAN020200,Boli ale pielii si tesutului celular subcutanat,Total,Total,"Cazuri, mii | Prevalenta (total bolnavi inregistrati pe parcursul anului)",2015,70.8
