"Diviziuni de marfuri si servicii, conform clasificatorului COICOP",Ani,Luni,value
01 Produse alimentare si bauturi nealcoolice,2003,Mai,..
01 Produse alimentare si bauturi nealcoolice,2003,Iunie,..
01 Produse alimentare si bauturi nealcoolice,2003,Iulie,..
01 Produse alimentare si bauturi nealcoolice,2003,August,..
01 Produse alimentare si bauturi nealcoolice,2003,Septembrie,..
01 Produse alimentare si bauturi nealcoolice,2003,Octombrie,..
01 Produse alimentare si bauturi nealcoolice,2003,Noiembrie,..
01 Produse alimentare si bauturi nealcoolice,2003,Decembrie,..
01 Produse alimentare si bauturi nealcoolice,2004,Ianuarie,..
01 Produse alimentare si bauturi nealcoolice,2004,Februarie,..
01 Produse alimentare si bauturi nealcoolice,2004,Martie,..
01 Produse alimentare si bauturi nealcoolice,2004,Aprilie,..
01 Produse alimentare si bauturi nealcoolice,2004,Mai,..
01 Produse alimentare si bauturi nealcoolice,2004,Iunie,..
01 Produse alimentare si bauturi nealcoolice,2004,Iulie,..
01 Produse alimentare si bauturi nealcoolice,2004,August,..
01 Produse alimentare si bauturi nealcoolice,2004,Septembrie,..
01 Produse alimentare si bauturi nealcoolice,2004,Octombrie,..
01 Produse alimentare si bauturi nealcoolice,2004,Noiembrie,..
01 Produse alimentare si bauturi nealcoolice,2004,Decembrie,..
01 Produse alimentare si bauturi nealcoolice,2005,Ianuarie,..
01 Produse alimentare si bauturi nealcoolice,2005,Februarie,..
01 Produse alimentare si bauturi nealcoolice,2005,Martie,..
01 Produse alimentare si bauturi nealcoolice,2005,Aprilie,..
01 Produse alimentare si bauturi nealcoolice,2005,Mai,..
01 Produse alimentare si bauturi nealcoolice,2005,Iunie,..
01 Produse alimentare si bauturi nealcoolice,2005,Iulie,..
01 Produse alimentare si bauturi nealcoolice,2005,August,..
01 Produse alimentare si bauturi nealcoolice,2005,Septembrie,..
01 Produse alimentare si bauturi nealcoolice,2005,Octombrie,..
01 Produse alimentare si bauturi nealcoolice,2005,Noiembrie,..
01 Produse alimentare si bauturi nealcoolice,2005,Decembrie,..
01 Produse alimentare si bauturi nealcoolice,2006,Ianuarie,..
01 Produse alimentare si bauturi nealcoolice,2006,Februarie,..
01 Produse alimentare si bauturi nealcoolice,2006,Martie,..
01 Produse alimentare si bauturi nealcoolice,2006,Aprilie,..
01 Produse alimentare si bauturi nealcoolice,2006,Mai,..
01 Produse alimentare si bauturi nealcoolice,2006,Iunie,..
01 Produse alimentare si bauturi nealcoolice,2006,Iulie,..
01 Produse alimentare si bauturi nealcoolice,2006,August,..
01 Produse alimentare si bauturi nealcoolice,2006,Septembrie,..
01 Produse alimentare si bauturi nealcoolice,2006,Octombrie,..
01 Produse alimentare si bauturi nealcoolice,2006,Noiembrie,..
01 Produse alimentare si bauturi nealcoolice,2006,Decembrie,..
01 Produse alimentare si bauturi nealcoolice,2007,Ianuarie,..
01 Produse alimentare si bauturi nealcoolice,2007,Februarie,..
01 Produse alimentare si bauturi nealcoolice,2007,Martie,..
01 Produse alimentare si bauturi nealcoolice,2007,Aprilie,..
01 Produse alimentare si bauturi nealcoolice,2007,Mai,..
01 Produse alimentare si bauturi nealcoolice,2007,Iunie,..
01 Produse alimentare si bauturi nealcoolice,2007,Iulie,..
01 Produse alimentare si bauturi nealcoolice,2007,August,..
01 Produse alimentare si bauturi nealcoolice,2007,Septembrie,..
01 Produse alimentare si bauturi nealcoolice,2007,Octombrie,..
01 Produse alimentare si bauturi nealcoolice,2007,Noiembrie,..
01 Produse alimentare si bauturi nealcoolice,2007,Decembrie,..
01 Produse alimentare si bauturi nealcoolice,2008,Ianuarie,..
01 Produse alimentare si bauturi nealcoolice,2008,Februarie,..
01 Produse alimentare si bauturi nealcoolice,2008,Martie,..
01 Produse alimentare si bauturi nealcoolice,2008,Aprilie,..
01 Produse alimentare si bauturi nealcoolice,2008,Mai,..
01 Produse alimentare si bauturi nealcoolice,2008,Iunie,..
01 Produse alimentare si bauturi nealcoolice,2008,Iulie,..
01 Produse alimentare si bauturi nealcoolice,2008,August,..
